medicine_name,public_price_lbp,public_price_usd,agent_name,is_subsidized,subsidy_category,registration_no,strength,presentation
"0.45% SODIUM CHLORIDE INJECTION USP",176974,1.98,"A Pharma Solutions SAL",0,"","51721/1","0.45%","1000ml"
"0.45% SODIUM CHLORIDE INJECTION USP",194211,2.17,"A Pharma Solutions SAL",0,"","9723/1","0.45%","1000ml non pvc"
"0.45% SODIUM CHLORIDE INJECTION USP",159736,1.78,"A Pharma Solutions SAL",0,"","115424/1","0.45%","250ml non pvc"
"0.45% SODIUM CHLORIDE INJECTION USP",178123,1.99,"A Pharma Solutions SAL",0,"","115924/1","0.45%","500ml non pvc"
"0.9% SODIUM CHLORIDE INJECTION USP",160885,1.80,"A Pharma Solutions SAL",0,"","51921/1","0.9%","100ml"
"0.9% SODIUM CHLORIDE INJECTION USP",166631,1.86,"A Pharma Solutions SAL",0,"","52121/1","0.9%","500ml"
"0.9% SODIUM CHLORIDE INJECTION USP",180421,2.02,"A Pharma Solutions SAL",0,"","52021/1","0.9%","1000ml"
"0.9% SODIUM CHLORIDE INJECTION USP",757310,8.46,"A Pharma Solutions SAL",0,"","51821/1","0.9%","3000ml"
"0.9% SODIUM CHLORIDE INJECTION USP",159736,1.78,"A Pharma Solutions SAL",0,"","52221/1","0.9%","250ml"
"0.9% SODIUM CHLORIDE INJECTION USP",201107,2.25,"A Pharma Solutions SAL",0,"","8323/1","0.9%","100ml non pvc"
"0.9% SODIUM CHLORIDE INJECTION USP",229836,2.57,"A Pharma Solutions SAL",0,"","8523/1","0.9%","500ml non pvc"
"0.9% SODIUM CHLORIDE INJECTION USP",244775,2.73,"A Pharma Solutions SAL",0,"","8623/1","0.9%","1000ml non pvc"
"0.9% SODIUM CHLORIDE INJECTION USP",199957,2.23,"A Pharma Solutions SAL",0,"","8423/1","0.9%","250ml non pvc"
"0.9% SODIUM CHLORIDE INJECTION USP",187316,2.09,"A Pharma Solutions SAL",0,"","115224/1","0.9%","50ml non pvc"
"10% DEXTROSE INJECTION USP",241328,2.70,"A Pharma Solutions SAL",0,"","63721/1","","1000ml"
"10% DEXTROSE INJECTION USP",187316,2.09,"A Pharma Solutions SAL",0,"","63521/1","","250ml"
"10% DEXTROSE INJECTION USP",213747,2.39,"A Pharma Solutions SAL",0,"","63621/1","","500ml"
"10% DEXTROSE INJECTION USP",313726,3.51,"A Pharma Solutions SAL",0,"","9323/1","","1000ml non pvc"
"10% DEXTROSE INJECTION USP",242477,2.71,"A Pharma Solutions SAL",0,"","9123/1","","250ml non pvc"
"10% DEXTROSE INJECTION USP",278102,3.11,"A Pharma Solutions SAL",0,"","9223/1","","500ml non pvc"
"10% DEXTROSE INJECTION USP",187316,2.09,"A Pharma Solutions SAL",0,"","115324/1","","100ml non pvc"
"10% W/V CALCIUM GLUCONATE INJECTION BP",3952241,44.16,"Pharmamed",1,"Stratum B","31316/1","","100x10ml Plastic Ampoules"
"123 COLD AND FLU",409552,4.58,"Droguerie de l'Union",1,"Stratum A1","208377/97","","20"
